laughter: смех, хохот, гогот, ржание
whistling: свист, насвистывание, свисток
skateboard: скейтборд, доска, скейт
oboe: гобой, духовой инструмент
aircraft: самолёт, воздушное судный, авиалайнер
electric_guitar: электрогитара, гитара
rope_skipping: прыжки через скакалка, скакалка
train_whistle: поездной гудка, свисток поезд
scissors: ножницы, резак
typewriter: пишущая машинка, машинописный аппарат
whispering: шёпот, шушуканье
theremin: терменвокс, электронный инструмент
click: щелчок, клик
dog_growl: рычание собак, грозный лать
nose_blowing: сморкание, выдувание нос
brass_instrument: медный духовой инструмент, труба, валторна
liquid_dripping: капание жидкость, капля
car_passing_by: проезжающая машина, автомобиль мить
timpani: литавра, ударный инструмент
subway_metro: метро, подземка
door_slam: хлопанье дверие, захлопывание
mosquito_buzz: жужжание комар, писк насекомое
eruption: извержение, выброс
sewing_machine: швейная машина, машинка
boom: взрыв, громкий звук
church_bell: церковный колокол, звон
liquid_splashing: брызги жидкость, плеск
saxophone: саксофон, духовой инструмент
motorboat_speedboat: моторная лодка, катер
sheep_bleat: блеяние овец, овечий голосый
ocean: океан, морские простор
playing_volleyball: игра в волейбол, волейбольный матч
crow_caw: карканье ворона, воронья
coin_dropping: падение монет, звенящий звук
rapping: рэп, речитатив
scuba_diving: подводное плавание, дайвинг
didgeridoo: диджерид, австралийский духовой инструмент
helicopter: вертолёт, авиационная машина
piano: пианино, фортепиано
frog: лягушка, амфибия
microwave_oven: микроволновая печь, микроволновка
door: дверь, вход
gurgling: бульканье, журчание
snicker: хихиканье, смешок
ratchet_and_pawl: трещотка и храповик, механизм
biting: кусание, укус
hi_hat: хай-хэта, ударный инструмент
giggling: хихиканье, смешок
glass_breaking: разбивание стечь, треск
booing: освистывание, улюлюканье
power_windows: электрические стеклоподъемник, автоматические окно
cutlery_silverware: столовые прибор, серебро
dog_howl: вой собака, длительное завывание
wind_rustling_leaves: шуршание листьевый, ветер в листва
motorcycle: мотоцикл, байк
percussion: перкуссия, ударные инструмент
clapping: аплодисменты, хлопок
dog_whimper: скуление собак, жалобные звук
snake_hiss: шипение змея, змеиный звук
shofar: шофара, еврейский рогий
gong: гонг, ударный инструмент
bowling_impact: удар боулинг, сбивание кегль
train_horn: гудок поезд, сигнал
boat_water_vehicle: лодка, водное транспортное средство
coyote_howl: вой койот, завывание
bird_flapping: хлопанье крыло, птичий звук
fire: огонь, пожар
lawn_mower: газонокосилка, триммер
speech: речь, выступление
artillery_fire: артиллерийский огонь, стрельба
mandolin: мандолина, струнный инструмент
owl_hoot: уханье сов, совиный звук
clarinet: кларнет, духовой инструмент
disc_scratching: скретчинг, царапанье диск
camera: камера, фотоаппарат
raindrop: капля дождь, дождевые капать
singing_bowl: поющая чаша, тибетская чаша
cheering: приветственные крик, аплодисменты
dog_bow_wow: лай собака, гавканье
belly_laugh: громкий смех, хохот
engine: двигатель, мотор
mallet_percussion: ударный инструмент, молотковый удар
tambourine: тамбурин, бубна
guitar_strum: перебор струна, аккорд
bowed_string_instrument: смычковый инструмент, струнный инструмент
choir_singing: хоровое пение, хоровой вокал
dishes_pots_pans: посуда, кастрюли и сковородка
drawer_open_close: открытие-закрытие ящик, ящичек
rail_transport: железнодорожный транспорт, поезд
wood_cracking: треск дерево, ломающийся древесный звук
bus: автобус, транспортное средство
electric_shaver: электробритва, машинка для бритие
underwater_bubbling: подводное пузырение, пузыри под вода
alarm_clock: будильник, сигнал
liquid_squishing: плеск жидкость, хлюпанье
cymbal: тарелка, ударный инструмент
fowl: птица, домашняя птица
frog_croak: кваканье лягушка, лягушачий звук
orchestra: оркестр, симфонический ансамбль
rowboat_canoe_kayak: гребная лодка, каноэ, каяк
train: поезд, локомотив
tap: кран, вентиль
tick: тик, тиканье
police_siren: полицейская сирить, сигнал
baby_crying: плач ребёнок, младенческий крик
saw: пила, распиловка
liquid_sloshing: плескание жидкость, хлюпанье
whoosh_swoosh_swish: свист, шелест, шум
