abseiling: спуск на верёвках, альпинизм
air drumming: игра на воздушных барабанах, имитация ударов по барабанам
answering questions: ответ на вопросы, участие в опросе
applauding: аплодирование, хлопки
applying cream: нанесение крема, использование лосьона
archery: стрельба из лука, лучный спорт
arm wrestling: борьба руками, перетягивание на руках
arranging flowers: составление букетов, флористика
assembling computer: сборка компьютера, монтаж ПК
auctioning: проведение аукциона, торги
baby waking up: пробуждение ребёнка, утро малыша
baking cookies: выпечка печений, приготовление сладостей
balloon blowing: надувание шариков, работа с воздушными шарами
bandaging: наложение повязок, обработка ран
barbequing: приготовление барбекю, гриль
bartending: работа бармена, обслуживание в баре
beatboxing: битбокс, создание ритмов голосом
bee keeping: пчеловодство, уход за пчёлами
belly dancing: танцы живота, восточные танцы
bench pressing: жим лёжа, тренировка на скамье
bending back: сгибание спины, гимнастика для спины
bending metal: гибка металла, работа с металлом
biking through snow: езда на велосипеде по снегу, зимний велоспорт
blasting sand: пескоструйная обработка, очистка поверхностей
blowing glass: дутьё стекла, изготовление стеклянных изделий
blowing leaves: сдувание листьев, уборка сада
blowing nose: сморкание, гигиена носа
blowing out candles: задувание свечей, празднование дня рождения
bobsledding: бобслей, спуск на санях
bookbinding: переплёт книг, работа переплётчика
bouncing on trampoline: прыжки на батуте, акробатика
bowling: боулинг, игра в кегли
braiding hair: плетение волос, создание кос
breading or breadcrumbing: панировка, приготовление котлет
breakdancing: брейкданс, уличный танец
brush painting: кисточная живопись, рисование красками
brushing hair: расчёсывание волос, уход за волосами
brushing teeth: чистка зубов, утренний уход
building cabinet: изготовление шкафа, столярные работы
building shed: строительство сарая, работа строителя
bungee jumping: прыжки с тарзанки, экстремальный спорт
busking: уличное выступление, игра на музыкальных

 инструментах на улице
canoeing or kayaking: каноэ или каякинг, водный туризм
capoeira: капоэйра, бразильское боевое искусство
carrying baby: ношение ребёнка, уход за младенцем
cartwheeling: колесо, акробатический элемент
carving pumpkin: вырезание тыквы, подготовка к Хэллоуину
catching fish: ловля рыбы, рыбалка
catching or throwing baseball: ловля или бросок бейсбольного мяча, бейсбол
catching or throwing frisbee: ловля или бросок фрисби, игра в диск
catching or throwing softball: ловля или бросок софтбольного мяча, софтбол
celebrating: празднование, участие в торжестве
changing oil: замена масла, обслуживание автомобиля
changing wheel: замена колеса, ремонт автомобиля
checking tires: проверка шин, обслуживание колёс
cheerleading: черлидинг, поддержка спортивных команд
chopping wood: рубка дров, работа с топором
clapping: хлопки, аплодисменты
clay pottery making: лепка из глины, керамика
clean and jerk: тяжелая атлетика, подъём штанги
cleaning floor: уборка полов, мытьё полов
cleaning gutters: чистка желобов, уход за крышей
cleaning pool: чистка бассейна, уход за водоёмами
cleaning shoes: чистка обуви, уход за обувью
cleaning toilet: чистка туалета, уборка санузла
cleaning windows: мытьё окон, уход за стеклами
climbing a rope: восхождение по верёвке, альпинизм
climbing ladder: восхождение по лестнице, работа на высоте
climbing tree: восхождение на дерево, альпинизм
contact juggling: жонглирование при контакте, манипуляция с шарами
cooking chicken: приготовление курицы, кулинария
cooking egg: приготовление яиц, кулинария
