person: человек, индивид, личность, особа, персона
bicycle: велосипед, двухколесный
car: автомобиль, машина, авто
motorcycle: мотоцикл, байк, мото
airplane: самолёт, авиалайнер, воздушное судно
bus: автобус, пассажирский автобус, маршрутка
train: поезд, железнодорожный состав, пассажирский поезд
truck: грузовик, фура, грузовой автомобиль
boat: лодка, судно, маломерное судно
traffic light: светофор, дорожный светофор
fire hydrant: пожарный гидрант, гидрант
stop sign: знак стоп, стоп-знак
parking meter: парковочный счетчик, паркомат
bench: скамейка, парковая скамейка
bird: птица, пернатый
cat: кошка, кот
dog: собака, пёс
horse: лошадь, конь
sheep: овца, баран
cow: корова, бык
elephant: слон, бивень
bear: медведь, зверь
zebra: зебра, полосатый
giraffe: жираф, длинношеее
backpack: рюкзак, наплечный мешок
umbrella: зонтик, дождевик
handbag: сумка, дамская сумка
tie: галстук, шейный платок
suitcase: чемодан, багаж
frisbee: фрисби, летающий диск
skis: лыжа, горные лыжи
snowboard: сноуборд, доска для сноуборда
sports ball: спортивный мяч, мяч
kite: змея, воздушный змей
baseball bat: бейсбольная бита, бита
baseball glove: бейсбольная перчатка, перчатка для бейсбола
skateboard: скейтборд, скейт
surfboard: доска для серфинга, серф
tennis racket: теннисная ракетка, ракетка
bottle: бутылка, флакон
wine glass: винный бокал, бокал для вина
cup: чашка, кружка
fork: вилка, столовый прибор
knife: нож, кухонный нож
spoon: ложка, столовая ложка
bowl: тарелка, миска
banana: банан, плод
apple: яблоко, фрукт
sandwich: сэндвич, бутерброд
orange: апельсин, цитрус
broccoli: брокколи, зелень
carrot: морковь, овощ
hot dog: хот-дог, сосиска в булке
pizza: пицца, итальянское блюдо
donut: пончик, кольцевой пирог
cake: торт, десерт
chair: кресло, стул
couch: диван, канапе
potted plant: растение в горшке, комнатное растение
bed: кровать, постель
dining table: обеденный стол, стол
toilet: туалет, уборная
tv: телевизор, телеаппарат
laptop: ноутбук, переносной компьютер
mouse: компьютерная мышь, мышь
remote: пульт, дистанционное управление
keyboard: клавиатура, компьютерная клавиатура
cell phone: сотовый телефон, мобильный телефон
microwave: микроволновка, микроволновая печь
oven: печь, духовка
toaster: тостер, прибор для тостов
sink: кран, мойка
refrigerator: холодильник, холодильное устройство
book: книга, том
clock: часы, временной прибор
vase: ваза, цветочный сосуд
scissors: ножницы, режущий инструмент
teddy bear: медвежонок, плюшевый медведь
hair drier: фен, сушилка для волос
toothbrush: зубная щетка, щетка для зубов
airport inside: аэропорт внутри, внутреннее пространство аэропорта
artstudio: художественная студия, мастерская художника
auditorium: аудитория, зал для зрителей
bakery: пекарня, хлебопекарня
bookstore: книжный магазин, магазин книг
bowling: боулинг, боулинг-клуб
buffet: буфет, столовая
casino: казино, игорный дом
children room: детская комната, комната для игр
church inside: внутри церковь, интерьер церкви
classroom: класс, учебная аудитория
cloister: монастырь, клостер
closet: шкаф, гардеробная
clothingstore: магазин одежды, бутик
computerroom: компьютерный зал, зал компьютеров
concert hall: концертный зал, музыкальный зал
corridor: коридор, проход
deli: гастроном, делликатесный магазин
dentaloffice: стоматологическое отделение, стоматология
